id	price	sale_price	sale_price_effective_date
shopify_ZZ_15464895643979_56264281784651	320.00 CZK	314.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464895709515_56264281817419	623.00 CZK	482.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464895775051_56264281882955	4102.00 CZK	3855.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464895873355_56264281915723	6703.00 CZK		
shopify_ZZ_15464895971659_56264281981259	8039.00 CZK		
shopify_ZZ_15464896069963_56264282276171	8679.00 CZK		
shopify_ZZ_15464896102731_56264282308939	1451.00 CZK		
shopify_ZZ_15464896332107_56264282767691	6236.00 CZK	4739.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464896495947_56264282865995	1229.00 CZK	907.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464896594251_56264282931531	465.00 CZK	301.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464896725323_56264282964299	4853.00 CZK	4522.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464896889163_56264282997067	1423.00 CZK	1010.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464897020235_56264283128139	1383.00 CZK	995.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464897053003_56264283193675	4145.00 CZK		
shopify_ZZ_15464897184075_56264283619659	775.00 CZK	586.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464897216843_56264283652427	1710.00 CZK		
shopify_ZZ_15464897315147_56264283685195	3720.00 CZK		
shopify_ZZ_15464897413451_56264283717963	1360.00 CZK		
shopify_ZZ_15464897511755_56264283750731	5978.00 CZK	5281.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464897544523_56264283783499	3716.00 CZK		
shopify_ZZ_15464897642827_56264283849035	2092.00 CZK	1452.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464897708363_56264284504395	3808.00 CZK	3579.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464897806667_56264284537163	1068.00 CZK	886.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464897937739_56264284602699	207.00 CZK		
